ID,Title,Author,publishday,pages,Read,Genre,ISBN,Price,Language,Publisher,Rating,Tags
16,Südliche Träume,David Mayr,1956-12-24,323,true,Biografie,271-767090-190-5,29.56,Französisch,Donau Press,2.0,Wissenschaft
17,Chroniken an der Donau,Eva Müller,1954-04-27,475,false,Horror,270-534130-604-6,24.32,Spanisch,Nordlicht Verlag,4.3,Abenteuer;Reise
18,Dunkle Uhren,Anna Schneider,1973-06-05,1054,true,Biografie,274-493696-264-1,35.09,Deutsch,Zukunftsverlag,3.4,Zukunft;Liebe;Politik;Abenteuer
19,Kalte Schritte am Bodensee,Paul Schneider,1968-06-10,1077,true,Kinderbuch,667-857111-847-8,19.59,Französisch,Wort & Welt,2.0,Politik
20,Leise Schriftrollen im Sommer,Leon Schmidt,1982-05-16,83,false,Sachbuch,943-794178-740-9,31.42,Deutsch,Buchhaus Wien,1.8,Krieg;Reise;Vergangenheit
21,Chroniken im Süden,Laura Koller,2009-04-21,351,true,Historisch,496-293862-479-6,25.32,Spanisch,Buchhaus Wien,2.1,Magie;Mystery;Vergangenheit;Freundschaft
22,Geheime Gärten,Matthias Wolf,1958-09-04,167,false,Historisch,523-893202-703-3,35.45,Spanisch,Steiermark Stories,2.7,Freundschaft;Mystery;Reise;Magie
23,Feurige Rätsel,Isabella Berger,1953-02-11,594,false,Historisch,919-699245-793-9,13.11,Spanisch,AlpenBooks,4.8,Mystery;Vergangenheit
24,Dunkle Winde,Marie Wolf,1989-01-22,286,false,Lyrik,251-974625-709-4,22.59,Deutsch,Nordlicht Verlag,2.6,Technik;Wissenschaft;Magie;Vergangenheit
25,Sterne über Wien,Sarah Berger,2005-11-24,681,false,Horror,215-534574-253-2,36.16,Italienisch,Nordlicht Verlag,4.7,Vergangenheit
26,Legenden bei Regen,Markus Fischer,1986-11-12,350,false,Science Fiction,685-738543-584-0,14.47,Spanisch,AlpenBooks,3.5,Liebe;Politik;Wissenschaft;Mystery
27,Südliche Sterne,Maximilian Brandt,1983-06-01,100,true,Sachbuch,418-393964-963-7,52.2,Deutsch,Donau Press,1.5,Vergangenheit;Wissenschaft;Magie;Politik
28,Goldene Spuren im Winter,Felix Seidl,2023-12-03,496,false,Historisch,988-492073-940-0,33.34,Englisch,Nordlicht Verlag,2.2,Abenteuer;Technik;Freundschaft;Liebe
29,Zerbrochene Rätsel,Thomas Fuchs,2025-02-02,139,true,Science Fiction,151-477880-821-3,20.07,Spanisch,Steiermark Stories,2.6,Familie
30,Letzte Lichter,Laura Egger,1990-01-08,261,false,Science Fiction,700-678115-458-5,13.99,Französisch,Nordlicht Verlag,2.1,Liebe;Abenteuer;Freundschaft;Mystery
31,Letzte Kompass,Felix Leitner,2008-06-16,499,false,Lyrik,109-597126-235-2,38.06,Deutsch,Donau Press,2.0,Zukunft;Vergangenheit;Familie
32,Winde im Süden,Isabella Fischer,1991-03-07,338,true,Sachbuch,793-645928-944-9,26.84,Deutsch,Buchhaus Wien,3.0,Technik;Familie;Freundschaft
33,Verbotene Uhren an der Donau,Laura Huber,1980-03-03,1092,true,Biografie,982-390334-367-4,15.36,Italienisch,Donau Press,4.6,Familie;Wissenschaft;Vergangenheit;Abenteuer
34,Verlorene Pfad im Sommer,Mia Leitner,1987-07-21,494,false,Fantasy,697-842464-685-3,23.87,Englisch,Steiermark Stories,3.6,Familie;Wissenschaft;Technik;Magie
35,Leise Schritte,Mia Bauer,1992-03-27,211,false,Kinderbuch,927-686187-881-2,57.08,Französisch,Nordlicht Verlag,1.9,Zukunft;Magie
36,Chroniken am Fluss,Sophie Leitner,2002-07-14,381,false,Thriller,581-156284-987-9,36.92,Italienisch,Nordlicht Verlag,2.9,Technik;Krieg
37,Feurige Segel im Herbst,Elena Schmidt,1963-07-12,220,false,Biografie,519-697062-568-2,22.4,Englisch,Nordlicht Verlag,3.0,Wissenschaft;Familie
38,Verlorene Flammen,Maximilian Fuchs,2018-04-16,872,true,Roman,601-923353-881-1,12.12,Spanisch,Tradition & Technik,2.6,Politik;Liebe;Zukunft;Technik
39,Ewige Wege,Markus Schneider,2017-11-25,933,false,Fantasy,792-104324-741-3,17.44,Französisch,Wort & Welt,1.5,Technik;Freundschaft;Magie;Abenteuer
40,Dunkle Uhren #40,Mia Lang,2015-04-19,612,false,Biografie,544-820141-237-5,59.79,Spanisch,Zukunftsverlag,4.0,Vergangenheit;Politik
41,Letzte Schlüssel,Eva Wagner,1968-12-12,831,true,Historisch,273-229144-475-0,25.64,Französisch,Steiermark Stories,3.5,Familie
42,Verlorene Stimmen,Matthias Bauer,1987-05-23,534,false,Historisch,358-597440-818-2,16.3,Deutsch,Wort & Welt,2.7,Familie
43,Erste Seiten an der Grenze,Matthias Wagner,1987-07-30,930,false,Historisch,836-747703-220-4,11.27,Deutsch,Salzburg Media,1.8,Vergangenheit;Magie
44,Zerbrochene Lichter bei Nacht,Mia Maier,1953-07-15,641,false,Krimi,804-604012-438-3,5.15,Deutsch,Nordlicht Verlag,4.3,Abenteuer;Krieg;Technik;Zukunft
45,Stille Rätsel am Markt,Peter Gruber,1990-12-23,1092,false,Sachbuch,575-152512-202-2,53.08,Französisch,Zukunftsverlag,4.2,Politik;Zukunft;Krieg
46,Dunkle Wege,Isabella Wagner,2009-07-06,742,true,Biografie,548-752011-374-1,25.49,Französisch,AlpenBooks,1.5,Reise;Magie;Politik;Vergangenheit
47,Pfad von Salzburg,Paul Wagner,2012-06-16,823,true,Roman,206-536236-704-7,49.12,Spanisch,AlpenBooks,3.4,Freundschaft;Liebe;Familie
48,Geheime Schatten im Sommer,Paul Brandt,1986-11-24,531,true,Sachbuch,770-429502-112-8,47.21,Italienisch,Villach Print,1.9,Technik;Vergangenheit;Freundschaft
49,Kalte Kompass,Eva Gruber,1993-03-27,434,false,Lyrik,494-255875-959-8,54.06,Italienisch,Buchhaus Wien,1.0,Technik;Reise
50,Legenden von Salzburg,Marie Eder,1994-02-09,408,true,Sachbuch,151-631553-328-8,40.38,Spanisch,Donau Press,1.3,Vergangenheit;Freundschaft;Reise;Krieg
51,Flammen am Fluss,Paul Koller,2016-11-09,749,true,Horror,522-137572-670-8,5.01,Deutsch,Villach Print,4.9,Technik;Vergangenheit;Mystery
52,Nördliche Wälder im Norden,Thomas Schmidt,2023-04-05,308,false,Biografie,673-904694-734-9,31.02,Französisch,Salzburg Media,1.5,Liebe;Wissenschaft
53,Schriftrollen im Herbst,Nina Pichler,1983-07-18,798,true,Roman,604-247271-941-6,10.88,Italienisch,Donau Press,1.8,Mystery;Reise;Vergangenheit;Wissenschaft
54,Kalte Stimmen,Clara Steiner,2025-02-18,768,false,Science Fiction,568-790441-703-8,12.4,Spanisch,Buchhaus Wien,3.1,Technik
55,Schriftrollen im Wald,Laura Seidl,1995-08-10,879,false,Roman,808-706658-277-2,10.7,Italienisch,Villach Print,4.5,Politik;Freundschaft;Mystery;Magie
56,Wälder im Herbst,Nico Kaiser,1961-12-19,221,false,Kinderbuch,866-637179-406-8,52.34,Italienisch,Donau Press,1.8,Familie;Wissenschaft;Vergangenheit
57,Ferne Segel,Nina Berger,2007-02-20,410,false,Biografie,675-603704-696-9,56.85,Spanisch,Steiermark Stories,2.1,Vergangenheit;Liebe;Technik;Krieg
58,Feurige Träume,Lukas Wolf,1955-01-29,284,true,Roman,393-816586-356-2,51.17,Französisch,Donau Press,4.0,Wissenschaft
59,Ufer an der Grenze,Isabella Wolf,2016-05-05,655,false,Kinderbuch,762-688534-498-3,33.1,Französisch,Buchhaus Wien,4.7,Politik;Familie;Wissenschaft;Technik
60,Verlorene Gipfel,Maximilian Fuchs,2005-09-03,969,false,Science Fiction,949-336504-748-5,46.53,Italienisch,Villach Print,1.8,Magie;Reise
61,Goldene Schritte,Lea Mayr,1996-02-06,202,true,Horror,385-683635-370-2,13.85,Französisch,Buchhaus Wien,2.3,Liebe;Abenteuer
62,Seiten am Bodensee,Florian Seidl,2006-02-08,710,false,Sachbuch,602-928278-686-8,24.69,Französisch,Steiermark Stories,1.9,Technik;Krieg
63,Ferne Winde bei Regen,Nina Weber,1958-04-01,437,true,Krimi,779-448005-439-5,21.15,Italienisch,Steiermark Stories,2.9,Krieg
64,Ewige Flammen von Innsbruck,Markus Steiner,2005-01-21,1020,false,Fantasy,798-436526-490-1,26.22,Italienisch,Wort & Welt,1.1,Technik;Vergangenheit;Reise
65,Stimmen im Herbst,Markus Steiner,1967-04-10,408,false,Thriller,271-910883-650-8,5.4,Deutsch,Donau Press,3.7,Familie;Politik
66,Zerbrochene Türen,Thomas Berger,2016-07-06,873,false,Thriller,864-819368-257-0,30.26,Französisch,Buchhaus Wien,1.4,Abenteuer
67,Türen im Tal,Tobias Kral,1970-06-04,1012,true,Horror,561-760830-514-6,22.4,Spanisch,Nordlicht Verlag,3.1,Vergangenheit
68,Tiefe Stimmen im Tal,Sophie Seidl,1995-02-10,188,true,Lyrik,408-736030-188-4,47.09,Spanisch,Tradition & Technik,2.6,Reise
69,Leise Schlüssel,Leon Mayr,1985-01-29,895,false,Historisch,402-764845-247-4,42.25,Französisch,Buchhaus Wien,3.2,Krieg;Liebe
70,Tiefe Seiten,Jonas Moser,1999-02-14,1049,true,Krimi,866-877446-843-5,16.65,Italienisch,AlpenBooks,1.6,Freundschaft;Magie
71,Stille Schritte,Katrin Kaiser,2000-11-23,952,true,Historisch,572-775990-662-1,20.99,Deutsch,Wort & Welt,1.4,Wissenschaft;Vergangenheit;Abenteuer;Mystery
72,Verbotene Seiten,Marie Brandt,1967-05-12,405,false,Biografie,731-791454-413-9,13.38,Italienisch,Zukunftsverlag,4.2,Abenteuer;Liebe;Wissenschaft;Mystery
73,Kalte Karten,Thomas Fischer,1962-01-18,775,false,Science Fiction,573-566991-467-4,31.78,Deutsch,AlpenBooks,3.6,Magie
74,Leise Spuren,Maximilian Mayr,2006-03-21,158,false,Fantasy,969-631815-746-0,49.7,Italienisch,Tradition & Technik,4.1,Liebe;Technik
75,Türen bei Regen,Laura Steiner,2019-07-19,232,true,Krimi,890-718241-850-4,12.36,Italienisch,Steiermark Stories,1.4,Technik;Liebe;Familie
76,Hohe Kompass,Lea Eder,1996-02-16,223,false,Roman,679-693297-775-2,45.48,Spanisch,Zukunftsverlag,1.2,Mystery;Krieg;Magie;Wissenschaft
77,Dunkle Kompass,Felix Pichler,2021-01-02,449,false,Science Fiction,147-141843-764-5,10.68,Italienisch,Wort & Welt,4.3,Freundschaft;Technik;Vergangenheit
78,Feurige Pfad,Jonas Fischer,2002-09-22,749,false,Thriller,629-363807-485-3,33.4,Französisch,Zukunftsverlag,2.9,Freundschaft;Liebe;Technik;Abenteuer
79,Schritte von Innsbruck,Marie Pichler,2007-09-24,367,true,Roman,261-479818-716-1,41.36,Spanisch,Zukunftsverlag,3.9,Familie;Reise;Zukunft;Mystery
80,Ferne Pfad bei Nacht,Anna Gruber,1953-11-14,210,false,Roman,237-760120-624-0,53.99,Englisch,Buchhaus Wien,1.7,Technik;Politik
81,Tiefe Pfad über Wien,Markus Mayr,2015-04-24,757,false,Thriller,321-571023-721-7,52.7,Englisch,Donau Press,4.3,Vergangenheit;Freundschaft
82,Hohe Kompass #82,Sebastian Leitner,1965-01-17,821,false,Science Fiction,710-719284-170-3,25.8,Englisch,Nordlicht Verlag,1.1,Abenteuer;Freundschaft;Krieg;Vergangenheit
83,Rätsel an der Grenze,Julia Schmidt,2020-04-28,624,false,Thriller,195-605666-775-2,54.61,Italienisch,Buchhaus Wien,4.6,Technik;Politik;Wissenschaft;Liebe
84,Brennende Winde von Innsbruck,Sarah Koller,2020-11-01,867,false,Drama,923-877407-879-9,10.37,Englisch,Wort & Welt,2.9,Krieg;Magie
85,Leise Winde am Markt,Felix Müller,2013-08-15,841,false,Drama,635-223552-632-0,25.63,Englisch,Zukunftsverlag,2.6,Abenteuer
86,Pfad im Wald,Maximilian Leitner,1998-02-05,513,false,Drama,382-813666-506-3,27.73,Italienisch,Salzburg Media,1.7,Magie;Vergangenheit;Freundschaft;Wissenschaft
87,Feurige Gipfel im Sturm,Isabella Wallner,2009-02-23,201,false,Science Fiction,901-833281-265-1,16.8,Spanisch,Zukunftsverlag,4.2,Abenteuer
88,Pfad über Wien,Sarah Huber,2023-11-10,228,false,Drama,545-192422-165-4,17.2,Deutsch,Villach Print,1.2,Politik;Freundschaft;Familie;Technik
89,Horizont an der Grenze,Lukas Eder,2023-08-03,259,false,Science Fiction,110-311505-970-8,20.73,Deutsch,Villach Print,3.0,Freundschaft;Abenteuer
90,Dunkle Lichter von Innsbruck,Peter Müller,1964-02-16,168,false,Horror,461-802191-504-6,37.23,Italienisch,Buchhaus Wien,3.9,Krieg
91,Verbotene Gipfel bei Regen,Clara Lechner,1981-03-25,435,false,Sachbuch,331-735818-299-7,56.13,Italienisch,Buchhaus Wien,2.0,Technik;Krieg;Vergangenheit;Zukunft
92,Verbotene Wälder an der Donau,Sarah Pichler,1973-02-13,977,false,Drama,356-827912-553-6,35.97,Englisch,Zukunftsverlag,4.8,Familie;Reise;Freundschaft;Liebe
93,Ufer am Markt,Marie Weber,2006-11-06,887,false,Lyrik,818-341099-919-5,27.68,Französisch,Steiermark Stories,3.1,Mystery;Magie;Krieg
94,Kompass am Fluss,Marie Moser,1966-01-05,567,true,Krimi,687-382146-287-3,32.44,Englisch,Donau Press,3.9,Mystery;Vergangenheit;Zukunft
95,Hohe Lichter,Leon Eder,1959-07-28,202,false,Lyrik,779-616596-728-0,47.03,Italienisch,Buchhaus Wien,4.4,Freundschaft;Wissenschaft;Reise
96,Erste Schatten von Salzburg,Florian Seidl,1995-11-09,366,false,Drama,231-156778-638-6,31.31,Italienisch,Buchhaus Wien,3.0,Familie;Abenteuer;Reise;Krieg
97,Brennende Flammen am Fluss,Matthias Müller,1951-01-23,770,true,Drama,203-441244-470-9,52.4,Englisch,Steiermark Stories,2.1,Reise;Freundschaft;Wissenschaft
98,Schritte im Sommer,Elena Fuchs,1987-08-07,797,false,Biografie,974-520051-386-7,14.89,Englisch,Villach Print,3.7,Zukunft
99,Chroniken von Innsbruck,Nina Koch,1984-03-03,280,true,Kinderbuch,253-595962-925-0,14.71,Spanisch,AlpenBooks,5.0,Vergangenheit;Reise;Magie
100,Türen im Wald,Lukas Weber,1958-11-18,787,true,Krimi,933-366642-587-1,29.74,Französisch,Wort & Welt,2.4,Wissenschaft;Liebe;Politik
101,Ewige Legenden,Katrin Egger,1967-11-07,670,false,Lyrik,651-283017-899-4,24.53,Italienisch,Salzburg Media,4.1,Krieg;Politik;Freundschaft;Magie
102,Pfad im Sturm,Isabella Maier,2007-06-21,907,false,Horror,746-742053-685-6,51.69,Deutsch,Nordlicht Verlag,1.6,Wissenschaft;Vergangenheit
103,Verbotene Horizont am Markt,Julia Steiner,1985-06-24,357,false,Biografie,865-715429-633-7,27.77,Englisch,Buchhaus Wien,1.5,Familie;Magie
104,Goldene Spuren von Salzburg,Jonas Bauer,1958-07-29,145,false,Science Fiction,661-156440-126-6,33.82,Deutsch,Nordlicht Verlag,2.0,Krieg;Familie
105,Uhren von Innsbruck,Emilia Mayr,1975-06-30,533,false,Roman,639-979249-274-0,6.93,Französisch,Zukunftsverlag,4.5,Technik;Magie;Vergangenheit;Reise
106,Leise Schritte #106,Tobias Egger,1990-12-17,726,false,Drama,545-648887-755-8,22.03,Französisch,Salzburg Media,3.2,Reise
107,Lichter bei Nacht,Maximilian Wagner,1977-03-27,90,true,Roman,452-400692-580-8,5.46,Spanisch,Salzburg Media,2.2,Vergangenheit;Magie;Freundschaft;Mystery
108,Leise Lichter,Felix Koch,2000-04-16,527,false,Roman,832-872924-761-6,50.56,Englisch,Wort & Welt,1.3,Technik;Freundschaft
109,Erste Uhren bei Regen,Sarah Leitner,1987-01-17,272,false,Roman,239-403662-213-7,38.98,Französisch,Villach Print,3.0,Liebe;Abenteuer;Vergangenheit
110,Verlorene Schritte an der Donau,Mia Leitner,1961-03-21,812,false,Fantasy,338-194578-254-0,32.15,Französisch,Tradition & Technik,2.2,Wissenschaft;Reise;Liebe;Vergangenheit
111,Geheime Stimmen,Maximilian Eder,1985-03-16,153,false,Roman,296-982417-356-6,50.55,Deutsch,Donau Press,2.5,Mystery;Zukunft;Liebe;Vergangenheit
112,Gipfel an der Donau,Sebastian Wolf,1968-09-13,564,false,Sachbuch,430-266316-744-0,45.96,Italienisch,Steiermark Stories,1.5,Familie;Magie;Mystery;Wissenschaft
113,Zerbrochene Ufer,Emilia Steiner,1988-12-13,412,true,Sachbuch,698-225461-505-3,5.49,Deutsch,Villach Print,4.1,Zukunft;Freundschaft;Abenteuer;Wissenschaft
114,Letzte Schritte,Laura Huber,2011-07-17,713,true,Lyrik,161-162678-464-2,43.57,Deutsch,AlpenBooks,3.0,Technik;Familie;Wissenschaft
115,Gipfel in Graz,Anna Berger,1983-11-22,446,false,Sachbuch,140-608876-823-7,35.75,Italienisch,Salzburg Media,1.8,Technik;Wissenschaft
116,Gipfel im Winter,Maximilian Wallner,2024-08-01,693,false,Historisch,264-172222-643-2,29.72,Französisch,Steiermark Stories,2.5,Vergangenheit
117,Brennende Nebel von Salzburg,Markus Müller,2005-08-07,957,true,Drama,344-436272-838-1,41.21,Italienisch,Tradition & Technik,1.8,Vergangenheit;Technik;Abenteuer;Freundschaft
118,Wälder bei Nacht,Peter Schneider,1959-11-29,178,false,Thriller,144-975763-232-2,53.04,Englisch,Nordlicht Verlag,2.9,Liebe
119,Feurige Kompass im Sommer,Sebastian Egger,2012-12-01,684,true,Biografie,326-735388-835-1,5.72,Englisch,Salzburg Media,4.7,Reise
120,Dunkle Lichter bei Regen,Eva Brandt,1987-04-26,921,true,Kinderbuch,159-963652-731-4,34.1,Deutsch,Wort & Welt,1.3,Technik;Krieg
121,Letzte Türen,Jonas Fuchs,1967-04-30,618,false,Drama,740-287588-671-8,27.84,Deutsch,Villach Print,2.4,Zukunft;Familie;Politik;Krieg
122,Ferne Türen,Jonas Pichler,1980-04-12,753,true,Drama,553-469438-422-8,59.53,Französisch,Zukunftsverlag,2.6,Zukunft;Wissenschaft;Freundschaft;Mystery
123,Leise Spuren im Süden,Florian Moser,2016-10-19,340,true,Science Fiction,558-516379-100-0,59.06,Italienisch,Buchhaus Wien,3.1,Liebe;Magie;Mystery
124,Versteckte Wege,Florian Kral,2011-11-17,922,true,Historisch,623-683347-684-9,13.51,Deutsch,Salzburg Media,2.4,Magie;Wissenschaft
125,Letzte Schlüssel am Markt,Sarah Hofer,1958-03-31,664,false,Krimi,851-180951-840-5,48.61,Englisch,Salzburg Media,4.3,Freundschaft
126,Verbotene Stimmen im Wald,Jonas Huber,2019-12-28,137,false,Biografie,456-956835-544-6,56.16,Deutsch,Donau Press,4.0,Familie
127,Feurige Stimmen im Herbst,Sebastian Schmidt,1978-08-25,632,false,Biografie,614-831663-326-2,7.78,Spanisch,Salzburg Media,4.0,Mystery
128,Uhren im Süden,Leon Wagner,1980-02-28,164,false,Kinderbuch,150-674779-508-4,9.68,Italienisch,Tradition & Technik,4.1,Vergangenheit;Abenteuer
129,Türen in Graz,Laura Weber,2008-07-07,665,true,Drama,853-649713-352-3,8.94,Spanisch,Zukunftsverlag,3.7,Krieg
130,Kalte Winde im Norden,Sophie Fuchs,1978-10-10,432,false,Fantasy,888-419625-273-5,38.89,Spanisch,Villach Print,1.6,Mystery
131,Ewige Träume,Florian Mayr,1957-09-12,195,false,Krimi,735-254850-989-4,5.76,Deutsch,Wort & Welt,2.8,Wissenschaft
132,Leise Spuren #132,Felix Moser,1996-12-11,848,true,Science Fiction,737-865380-244-0,25.71,Italienisch,Buchhaus Wien,2.0,Magie
133,Hohe Karten,Lukas Lang,2008-09-28,1047,true,Horror,776-384489-778-5,52.54,Deutsch,Wort & Welt,4.5,Mystery;Politik;Technik;Krieg
134,Schatten an der Grenze,Nina Huber,1966-09-22,283,false,Science Fiction,674-847078-122-0,18.61,Italienisch,Wort & Welt,2.3,Zukunft;Abenteuer;Liebe;Wissenschaft
135,Ewige Lichter im Herbst,Emilia Pichler,1974-10-01,911,true,Sachbuch,999-505977-934-0,56.93,Französisch,Donau Press,1.6,Familie;Abenteuer;Krieg;Politik
136,Hohe Legenden von Innsbruck,Elena Gruber,2001-05-25,236,false,Sachbuch,719-445280-559-8,12.25,Englisch,Villach Print,3.2,Abenteuer;Magie
137,Brennende Sterne im Sturm,Elena Seidl,2019-01-31,228,false,Drama,261-432918-169-8,34.31,Deutsch,AlpenBooks,2.3,Zukunft;Liebe
138,Rätsel bei Nacht,Elena Hofer,1989-09-29,843,false,Lyrik,856-387096-255-3,10.87,Englisch,Buchhaus Wien,4.0,Freundschaft;Vergangenheit;Zukunft
139,Hohe Schlüssel,Emilia Wolf,1952-05-04,447,true,Science Fiction,237-626725-966-9,30.78,Französisch,AlpenBooks,4.4,Reise;Abenteuer;Zukunft;Mystery
140,Dunkle Winde #140,Florian Müller,1974-03-18,1053,false,Kinderbuch,787-312686-875-3,8.64,Spanisch,Villach Print,3.0,Reise;Mystery;Politik
141,Gärten am Bodensee,Julia Mayr,2023-12-15,469,false,Horror,726-878533-685-9,34.49,Deutsch,Steiermark Stories,1.4,Liebe;Mystery;Technik;Familie
142,Gipfel am Bodensee,Nina Weber,1996-04-21,863,false,Fantasy,294-405323-550-6,53.64,Französisch,Salzburg Media,1.7,Freundschaft;Liebe;Technik
143,Nördliche Schriftrollen,Peter Lang,1958-02-11,819,false,Roman,897-713886-812-8,12.44,Spanisch,Zukunftsverlag,2.8,Reise;Freundschaft
144,Zerbrochene Rätsel im Winter,Marie Leitner,1979-01-28,788,false,Kinderbuch,915-271960-835-1,10.02,Spanisch,Zukunftsverlag,1.3,Zukunft;Technik;Freundschaft;Abenteuer
145,Türen im Süden,Lukas Eder,1965-05-01,1014,true,Lyrik,983-257380-266-2,14.84,Deutsch,Tradition & Technik,2.2,Magie;Familie;Abenteuer;Krieg
146,Zerbrochene Wege,Julia Eder,1972-09-15,92,false,Science Fiction,656-946677-105-9,53.55,Englisch,Donau Press,3.4,Reise;Politik;Vergangenheit;Krieg
147,Hohe Wege von Innsbruck,Markus Moser,1974-12-14,714,false,Krimi,150-293818-251-0,40.93,Deutsch,AlpenBooks,4.4,Wissenschaft;Krieg;Liebe
148,Kalte Schritte,Lea Wolf,1975-07-07,705,false,Kinderbuch,709-700081-906-8,14.76,Spanisch,Villach Print,2.4,Krieg
149,Wälder im Norden,Markus Weber,2023-08-04,149,false,Historisch,166-407057-582-2,11.71,Französisch,Zukunftsverlag,3.1,Zukunft;Mystery
150,Dunkle Ufer im Wald,Eva Steiner,1997-06-15,1090,true,Kinderbuch,805-734155-907-4,28.49,Französisch,Wort & Welt,3.1,Abenteuer;Freundschaft;Zukunft
151,Segel im Sommer,Laura Kaiser,1966-02-21,984,false,Kinderbuch,397-302957-101-1,6.32,Deutsch,Donau Press,4.2,Politik;Liebe;Wissenschaft;Familie
152,Zerbrochene Wege in Graz,Matthias Hofer,1972-10-28,889,true,Sachbuch,618-676710-431-0,11.26,Französisch,Zukunftsverlag,2.6,Abenteuer
153,Versteckte Schriftrollen,David Seidl,2010-05-01,570,false,Fantasy,761-242348-593-2,39.5,Italienisch,Zukunftsverlag,2.8,Zukunft;Liebe;Technik;Magie
154,Versteckte Türen bei Regen,Anna Fuchs,2001-10-20,781,true,Biografie,167-256557-387-0,23.65,Spanisch,Steiermark Stories,4.4,Abenteuer;Freundschaft;Krieg;Magie
155,Versteckte Horizont am Bodensee,Maximilian Koch,1957-10-15,588,false,Biografie,562-969749-409-3,33.88,Englisch,Nordlicht Verlag,2.5,Vergangenheit
156,Goldene Flammen,Sebastian Müller,2021-09-07,574,false,Roman,294-456637-595-8,22.07,Französisch,AlpenBooks,4.1,Technik
157,Geheime Spuren am Bodensee,Nico Weber,2014-01-10,965,false,Fantasy,418-146168-803-9,52.95,Französisch,Salzburg Media,4.6,Technik
158,Verbotene Wege im Wald,Florian Hofer,2007-04-25,993,true,Krimi,297-400487-383-8,22.55,Spanisch,Nordlicht Verlag,2.1,Magie;Krieg
159,Hohe Türen,Sebastian Bauer,1968-07-14,635,true,Biografie,377-248433-821-4,36.57,Englisch,Nordlicht Verlag,2.2,Technik;Reise;Liebe
160,Verlorene Schatten,Markus Wolf,1954-07-12,188,false,Thriller,536-510954-283-9,54.02,Spanisch,Villach Print,2.4,Mystery;Zukunft;Familie
161,Goldene Sterne im Winter,Tobias Wagner,1958-05-03,912,false,Kinderbuch,579-201987-566-4,42.65,Spanisch,Salzburg Media,1.9,Abenteuer;Freundschaft
162,Sterne im Norden,Jonas Maier,2012-10-06,1019,false,Biografie,564-611187-130-1,31.14,Französisch,Salzburg Media,2.8,Magie;Wissenschaft
163,Tiefe Träume im Morgengrauen,Paul Weber,2023-05-07,811,false,Biografie,669-780999-172-4,34.3,Spanisch,Villach Print,2.7,Technik;Abenteuer
164,Nebel im Tal,David Fuchs,2023-01-08,790,false,Horror,680-925571-450-8,43.18,Englisch,Nordlicht Verlag,4.0,Krieg;Freundschaft;Zukunft;Reise
